image_id,edge_density,entropy,brightness,contrast,color_variance,texture,ambiguity_label
301061,0.0588997395833333,7.762909310319742,113.36856119791666,60.49080101714205,3730.32263380904,798.5262815076087,Low
261982,0.0555490973741794,7.226292662312128,129.0515146334792,99.13619950937532,9601.644794521775,3539.0200040737486,Medium
273760,0.0249163543897216,6.684819786698268,143.3144472698073,29.7986159651608,1454.7339553184158,1402.596353041317,Low
248400,0.0415105386416861,7.609706299343814,106.55755269320844,58.39782596402461,3591.0017077492034,516.684389603527,Medium
382030,0.0778453333333333,7.845758332623251,113.08475733333331,66.50229842790733,4473.499695108268,1138.8753092488248,Medium
405691,0.0405920667447306,7.622247257370605,83.86919276932085,63.12479377832632,4382.03619664328,448.8116152052997,Medium
29596,0.0563412675233644,7.635488160664402,131.7237441588785,67.79896009061736,4805.526759022897,1376.792986086085,Medium
76547,0.1006412760416666,7.639883144472091,93.459580078125,68.56748600512672,4816.296346733171,2094.56250222435,Medium
56344,0.0401497395833333,7.610349712715822,83.54100260416666,70.2200127726167,4948.558366277321,607.3158493741248,Low
80274,0.13515625,7.729517203010586,118.6381640625,70.24627612286173,5193.006999295786,5484.043993402058,Medium
263474,0.0190468423799582,7.346382931550559,131.3379762526096,45.99818176124761,2304.7043691861145,1076.7001841669928,Medium
384350,0.0258984375,7.311652321311209,120.36236328125,47.83614259014292,2685.424718371805,789.3592230143123,Medium
38829,0.1011197306791569,7.314594117748845,65.6591737412178,51.33542033463076,2711.1875664928016,2219.000429868534,Medium
287545,0.0545768229166666,7.086745894974871,102.01613606770832,37.942056846965485,1534.2932415776784,746.9293911547237,Low
365642,0.0132445715962441,6.407277189108846,47.28321596244132,27.923877598339903,779.7429401270691,272.25548349012007,Medium
525286,0.14359375,7.6562513208181695,119.78127197265626,67.2730838804669,4742.088904788874,7334.572759847045,Medium
554595,0.0289521276595744,7.573212651991069,105.28561170212764,49.81300239767225,3124.057758161791,765.4376582174909,Low
23272,0.1128533333333333,7.735227152694829,125.83282133333331,58.35176727937848,3621.769889418136,3298.408933268025,Low
363207,0.0614127604166666,7.474372563708992,91.098193359375,53.81274489991319,3020.240531102283,2049.3037190635578,Low
555005,0.0520377604166666,7.832417543917444,109.22234049479168,68.55689676466731,4701.167863450489,428.81974609307184,Medium
190637,0.0296801985981308,7.384560378006101,121.73775189836448,68.74541335612471,4933.708777068866,387.68503555508426,Medium
100274,0.0925131733021077,7.567216929983187,124.18799033957843,66.9892932200314,4478.203704844021,4785.543756975714,Medium
375430,0.0456894028103044,7.2373050224694495,167.6848067915691,71.96842392124063,6031.3698200495455,728.9802975525613,Low
