image_id,average_similarity,minimum_similarity,maximum_similarity,std_similarity,caption_diversity,edge_density,entropy,brightness,contrast,color_variance,texture
301061,0.5752958704186778,0.17565152830939085,0.9786637538982217,0.2054850191058542,0.4247041295813222,0.0588997395833333,7.762909310319742,113.36856119791666,60.49080101714205,3730.32263380904,798.5262815076087
261982,0.5175047388573649,0.22476063032730156,0.995340155847535,0.2510078405481824,0.4824952611426351,0.0555490973741794,7.226292662312128,129.0515146334792,99.13619950937532,9601.644794521775,3539.0200040737486
273760,0.48634863455868615,0.02344861014316079,0.9851771603155424,0.2596025655019731,0.5136513654413138,0.0249163543897216,6.684819786698268,143.3144472698073,29.7986159651608,1454.7339553184158,1402.596353041317
248400,0.41020810444668393,0.08740833896789892,0.9064341222045006,0.26922295400738194,0.5897918955533161,0.0415105386416861,7.609706299343814,106.55755269320844,58.39782596402461,3591.0017077492034,516.684389603527
382030,0.4263218206166843,0.12241040877901312,0.9150336669079235,0.24339411146543166,0.5736781793833157,0.0778453333333333,7.845758332623251,113.08475733333331,66.50229842790733,4473.499695108268,1138.8753092488248
405691,0.5965982070725818,0.39518267977684335,0.9827725874732357,0.19651129113791221,0.4034017929274182,0.0405920667447306,7.622247257370605,83.86919276932085,63.12479377832632,4382.03619664328,448.8116152052997
29596,0.384640972662796,0.19143349070577678,0.9006499636062073,0.17358189458754886,0.615359027337204,0.0563412675233644,7.635488160664402,131.7237441588785,67.79896009061736,4805.526759022897,1376.792986086085
76547,0.7908991372281815,0.6286541922028622,0.9875723081209491,0.12044722693860059,0.2091008627718185,0.1006412760416666,7.639883144472091,93.459580078125,68.56748600512672,4816.296346733171,2094.56250222435
56344,0.6467517696973695,0.35425302201861586,0.9872309079864289,0.19814574961136597,0.35324823030263053,0.0401497395833333,7.610349712715822,83.54100260416666,70.2200127726167,4948.558366277321,607.3158493741248
80274,0.5817130899419071,0.40226038597535646,0.7691019926428032,0.1015535602230194,0.41828691005809293,0.13515625,7.729517203010586,118.6381640625,70.24627612286173,5193.006999295786,5484.043993402058
263474,0.6874405398040595,0.6068821971305991,0.890373823920386,0.07646116222303312,0.3125594601959405,0.0190468423799582,7.346382931550559,131.3379762526096,45.99818176124761,2304.7043691861145,1076.7001841669928
384350,0.7495822417256157,0.5107240557322731,0.990553424799318,0.1396182486197059,0.2504177582743843,0.0258984375,7.311652321311209,120.36236328125,47.83614259014292,2685.424718371805,789.3592230143123
38829,0.3665318967155215,-0.0052515811893948106,0.9958260687324666,0.32107919011811,0.6334681032844784,0.1011197306791569,7.314594117748845,65.6591737412178,51.33542033463076,2711.1875664928016,2219.000429868534
287545,0.37717965264153824,0.08963207598871274,0.7805270030893149,0.2086614097014469,0.6228203473584617,0.0545768229166666,7.086745894974871,102.01613606770832,37.942056846965485,1534.2932415776784,746.9293911547237
365642,0.5171480999422248,-0.06631991429226886,0.9979255295474554,0.351029064201239,0.48285190005777523,0.0132445715962441,6.407277189108846,47.28321596244132,27.923877598339903,779.7429401270691,272.25548349012007
525286,0.4290896161657658,0.1142098730434788,0.8645367580189426,0.24108543973605703,0.5709103838342342,0.14359375,7.6562513208181695,119.78127197265626,67.2730838804669,4742.088904788874,7334.572759847045
554595,0.5199825001991608,0.058585208506718875,0.9214440403583661,0.2537548170241167,0.4800174998008392,0.0289521276595744,7.573212651991069,105.28561170212764,49.81300239767225,3124.057758161791,765.4376582174909
